"Movie ID","Byte Length","Stub v/s Not Stub",,,
1015,9023,"Generic",,,
1016,15115,"Generic",,,
1017,13765,"Generic",,,
1018,13790,"Generic",,,
1019,7293,"Generic",,,
1020,12904,"Generic",,,
1021,9536,"Generic",,,
1022,9534,"Generic",,,
1023,8508,"Generic",,,
1024,7382,"Generic",,,
1025,7504,"Generic",,,
1026,8952,"Generic",,,
1027,8115,"Generic",,,
1028,6505,"Generic",,,
1029,11418,"Generic",,,
1030,8425,"Generic",,,
1031,8654,"Generic",,,
1032,6710,"Generic",,,
1033,8186,"Generic",,,
1034,8554,"Generic",,,
1035,10623,"Generic",,,
1036,8918,"Generic",,,
1037,12136,"Generic",,,
1038,9512,"Generic",,,
1039,8805,"Generic",,,
1040,7138,"Generic",,,
1041,7158,"Generic",,,
1042,7858,"Generic",,,
1043,7510,"Generic",,,
1044,7469,"Generic",,,
1045,8121,"Generic",,,
1046,6808,"Generic",,,
1047,7536,"Generic",,,
1048,8936,"Generic",,,
1049,8097,"Generic",,,
1050,7788,"Generic",,,
1051,7386,"Generic",,,
1052,7792,"Generic",,,
1053,7757,"Generic",,,
1054,7258,"Generic",,,
1055,7157,"Generic",,,
